0.1, .73
0.1, .72
0.1, .72
0.1, .70
0.1, .75
0.5, 1.63
0.5, 1.60
0.5, 1.69
0.5, 1.59
0.5, 1.47
1, 2.26
1, 2.26
1, 2.43
1, 2.40
1, 2.24
5, 7.66
5, 7.73
5, 7.61
5, 7.21
5, 7.33
10, 12.96
10, 14.77
10, 13.29
10, 13.12
10, 13.31
